GO.ID	pValue
GO:0044837	5.1e-06
GO:0007300	1.3e-05
GO:0032506	1.5e-05
GO:0035193	2.7e-05
GO:0035272	3.2e-05
GO:0000912	3.4e-05
GO:0048679	4.6e-05
GO:0007488	8.1e-05
GO:0008298	8.5e-05
GO:0048732	8.8e-05
GO:0007028	0.00018
GO:0070570	0.00019
GO:0070572	2e-04
GO:0048678	0.00021
GO:0031102	0.00024
GO:0060810	0.00025
GO:0061988	0.00027
GO:0001700	0.00029
GO:0010976	0.00033
GO:0007315	0.00036
GO:0031099	0.00036
GO:1903706	5e-04
GO:0048680	0.00051
GO:0080135	0.00065
GO:0007436	0.00084
GO:0051130	0.00084
GO:0071695	0.00086
GO:0031346	0.00095
GO:0030717	0.001
GO:0022612	0.00109
GO:0000281	0.00124
GO:0021700	0.00125
GO:0030865	0.00125
GO:0007351	0.00138
GO:0022412	0.00142
GO:0048469	0.0016
GO:1903036	0.00161
GO:0070192	0.00168
GO:0002682	0.0017
GO:0046847	0.00202
GO:0002521	0.00218
GO:2000026	0.0024
GO:0002168	0.0024
GO:0007009	0.00254
GO:0051094	0.00258
GO:0009994	0.00264
GO:0007316	0.00267
GO:0030866	0.00306
GO:0031103	0.00353
GO:0000910	0.0038
GO:0120034	0.00437
GO:0015807	0.00445
GO:0007309	0.00472
GO:0098727	0.00478
GO:0019827	0.00488
GO:0002164	0.00502
GO:1903825	0.00507
GO:1901701	0.00546
GO:0009611	0.00591
GO:0030031	0.00593
GO:0003006	0.00622
GO:0045595	0.0066
GO:0060491	0.00712
GO:0009880	0.00757
GO:0071216	0.00761
GO:0007589	0.00784
GO:0010628	0.00844
GO:0031344	0.0085
GO:0051321	0.00864
GO:0042551	0.00869
GO:0044872	0.00878
GO:0044089	0.00901
GO:0080134	0.00995
GO:0097193	0.00999
GO:1903046	0.01055
GO:0003333	0.01094
GO:0007308	0.01139
GO:0030029	0.01153
GO:0051240	0.01168
GO:0050679	0.01219
GO:0042953	0.01332
GO:0009798	0.01357
GO:0072528	0.01374
GO:0007552	0.01438
GO:0007431	0.01502
GO:0009886	0.01657
GO:0007391	0.01687
GO:0045596	0.01703
GO:0007595	0.01712
GO:0051276	0.01751
GO:0015949	0.0177
GO:1903409	0.01774
GO:1902475	0.01838
GO:0060284	0.01846
GO:0002165	0.01938
GO:0030588	0.01949
GO:0051489	0.01988
GO:1902931	0.02055
GO:0001816	0.02098
GO:0051491	0.02255
GO:0006220	0.02278
GO:0045103	0.02324
GO:0120035	0.02354
GO:0050865	0.02437
GO:0044087	0.02454
GO:0002237	0.02465
GO:1902930	0.02476
GO:0046386	0.02521
GO:0000966	0.02539
GO:0006403	0.02563
GO:0072527	0.02579
GO:0051258	0.02624
GO:0042446	0.02663
GO:0040008	0.02664
GO:0170043	0.02759
GO:1903573	0.02773
GO:0045932	0.02809
GO:0051301	0.0282
GO:0019226	0.02869
GO:0009147	0.02951
GO:0007416	0.03027
GO:0090181	0.03125
GO:0035282	0.03214
GO:0009264	0.0339
GO:1901700	0.03411
GO:0010975	0.03464
GO:0007444	0.03476
GO:1903034	0.03539
GO:0010647	0.03582
GO:0023056	0.036
GO:0009967	0.03616
GO:0071498	0.03653
GO:0072529	0.03653
GO:0030713	0.03681
GO:0051093	0.03724
GO:0060322	0.03746
GO:0043649	0.03797
GO:0030718	0.0401
GO:0019725	0.04033
GO:0001817	0.04149
GO:0060811	0.04161
GO:0097194	0.04186
GO:0050673	0.04243
GO:0046385	0.04257
GO:0097435	0.04533
GO:0007281	0.04538
GO:0002093	0.0458
GO:0045638	0.04602
GO:0045600	0.04615
GO:0002576	0.0463
GO:0048598	0.0464
GO:0070542	0.04655
GO:0050678	0.04714
GO:0007566	0.04717
GO:0001541	0.04788
GO:0099172	0.0479
GO:0007560	0.048
GO:0016331	0.04802
GO:0006221	0.04843
GO:0031401	0.04933
