GO.ID	pValue
GO:0035166	4.9e-05
GO:0002164	5.4e-05
GO:0002683	9.5e-05
GO:0140053	0.00027
GO:0016072	0.00027
GO:0048542	0.00037
GO:0000912	0.00059
GO:0032543	0.00067
GO:0035150	0.00101
GO:0001700	0.00121
GO:0030258	0.00126
GO:0035167	0.00146
GO:1904064	0.00158
GO:0044837	0.00177
GO:0007391	0.00188
GO:0046395	0.00209
GO:0003006	0.00214
GO:0009950	0.00229
GO:1902750	0.0024
GO:0031175	0.00254
GO:0034767	0.00271
GO:0016054	0.00278
GO:0051235	0.00304
GO:0044818	0.00322
GO:0051321	0.00347
GO:0042386	0.00362
GO:0007352	0.00372
GO:0032506	0.00381
GO:0010972	0.00442
GO:0051928	0.00503
GO:0030865	0.00516
GO:1903046	0.00524
GO:0007626	0.00559
GO:0006413	0.00567
GO:0007281	0.00578
GO:0046349	0.00593
GO:0032411	0.00603
GO:0007629	0.00605
GO:0045168	0.00609
GO:1904427	0.00652
GO:0009880	0.00664
GO:0030718	0.007
GO:0006631	0.00716
GO:0044773	0.00735
GO:0036335	0.00778
GO:1901991	0.00796
GO:0035272	0.00807
GO:0032781	0.00823
GO:0006937	0.00838
GO:0007274	0.00848
GO:0022898	0.00853
GO:2001244	0.00864
GO:0043243	0.0089
GO:0008063	0.00911
GO:0030866	0.00912
GO:0043270	0.00915
GO:0030322	0.01013
GO:0048534	0.01018
GO:0022412	0.01043
GO:0016042	0.01049
GO:0008354	0.01082
GO:1904062	0.01083
GO:0010884	0.0124
GO:0000578	0.01243
GO:0035172	0.01266
GO:0044774	0.01331
GO:0009968	0.01378
GO:0009062	0.01395
GO:0050732	0.01405
GO:0045610	0.01449
GO:1901894	0.01451
GO:0051343	0.01453
GO:0042560	0.01502
GO:0009798	0.0151
GO:0048678	0.01559
GO:0035206	0.01564
GO:0048732	0.0161
GO:1902106	0.01615
GO:0009451	0.01718
GO:0009397	0.0175
GO:0061437	0.01786
GO:0051924	0.01798
GO:0090257	0.01889
GO:0072329	0.01904
GO:0019395	0.0199
GO:0010883	0.01996
GO:0061440	0.02011
GO:0019953	0.02047
GO:1905952	0.02057
GO:0044282	0.02085
GO:0061099	0.02098
GO:0060810	0.02159
GO:0072012	0.02222
GO:0045905	0.02232
GO:0009791	0.02233
GO:0050730	0.02235
GO:0098727	0.02362
GO:0046716	0.02471
GO:0044248	0.02472
GO:1903169	0.02485
GO:0003012	0.02495
GO:0040014	0.02512
GO:0070588	0.02551
GO:0044057	0.02607
GO:0009953	0.02621
GO:0002520	0.02628
GO:0140694	0.02696
GO:0070572	0.02732
GO:0070570	0.02845
GO:0008298	0.02877
GO:0051282	0.0293
GO:1901896	0.02967
GO:0006364	0.02976
GO:0061640	0.02981
GO:0007519	0.0302
GO:0016925	0.03032
GO:0030150	0.03046
GO:0019827	0.03052
GO:0035193	0.03076
GO:0031669	0.03077
GO:1901698	0.03097
GO:0007300	0.03143
GO:0006399	0.03147
GO:0031032	0.03247
GO:0043462	0.03261
GO:1901019	0.03291
GO:0043649	0.03313
GO:0016078	0.03351
GO:0090130	0.0336
GO:0006449	0.03375
GO:0010389	0.0343
GO:0007600	0.03446
GO:0016074	0.03465
GO:0090131	0.03491
GO:0032409	0.0358
GO:0006457	0.03659
GO:0009071	0.03681
GO:0045807	0.03754
GO:0034764	0.03829
GO:0006820	0.03895
GO:0048285	0.03906
GO:0006936	0.03929
GO:0007316	0.03935
GO:0051651	0.0394
GO:0010959	0.04068
GO:1905954	0.04091
GO:0000910	0.04105
GO:0090101	0.04145
GO:0042981	0.0426
GO:0048679	0.04272
GO:0030534	0.04308
GO:1901021	0.04342
GO:1903707	0.04364
GO:0071559	0.04438
GO:1901293	0.04459
GO:0061097	0.04461
GO:0007488	0.04493
GO:0018208	0.045
GO:0071560	0.04524
GO:0010212	0.04602
GO:0038127	0.04732
GO:1902749	0.04816
GO:0010648	0.04872
GO:0006448	0.04897
GO:0030036	0.04898
GO:0035152	0.049
GO:0006886	0.04918
GO:0006546	0.04996
