GO.ID	pValue
GO:0000912	4.1e-05
GO:0097237	9e-05
GO:0060810	0.00016
GO:0044837	0.00024
GO:0035150	0.00031
GO:0006403	0.00043
GO:0002683	5e-04
GO:0051321	0.00056
GO:0009636	0.00059
GO:0032506	0.00073
GO:0008298	0.00073
GO:1903046	0.00126
GO:0098657	0.00126
GO:0045807	0.00145
GO:0007315	0.00163
GO:1990748	0.00178
GO:0000910	0.00186
GO:0007436	0.00203
GO:0035193	0.00216
GO:0035272	0.00219
GO:0070572	0.00219
GO:0002164	0.00224
GO:0016072	0.00229
GO:0007351	0.00248
GO:0048678	0.00266
GO:0070570	0.00267
GO:0140694	0.00269
GO:0098754	0.00285
GO:0030258	0.00314
GO:0007300	0.00334
GO:0030865	0.00396
GO:0019319	0.00423
GO:0060811	0.00437
GO:2001244	0.00457
GO:0007028	0.00475
GO:0034504	0.00484
GO:0003006	0.005
GO:0016054	0.00552
GO:0030866	0.00555
GO:0007488	0.00559
GO:0001700	0.00564
GO:0060438	0.00568
GO:0018208	0.00587
GO:0006897	0.00633
GO:0009062	0.00689
GO:0045005	0.00781
GO:0046395	0.00914
GO:0022411	0.00949
GO:0035152	0.00994
GO:0006094	0.01026
GO:0019395	0.01091
GO:0080135	0.01126
GO:0000578	0.01243
GO:0042560	0.01259
GO:0048679	0.01292
GO:0048732	0.01306
GO:0048680	0.01445
GO:0051343	0.01453
GO:0009798	0.0151
GO:0040014	0.01641
GO:0045740	0.01662
GO:0009968	0.01678
GO:0007391	0.01795
GO:0009880	0.01797
GO:0010976	0.01837
GO:1902475	0.01838
GO:0007309	0.01861
GO:0061440	0.02011
GO:0030100	0.02084
GO:0030029	0.02096
GO:0007308	0.02129
GO:0070588	0.02168
GO:0007281	0.02196
GO:0007314	0.02206
GO:0003012	0.02213
GO:0051235	0.0222
GO:0090130	0.02253
GO:0061988	0.02311
GO:0007316	0.02364
GO:0031103	0.02415
GO:1903036	0.02417
GO:0009994	0.02422
GO:0032101	0.02429
GO:0046716	0.02471
GO:0046847	0.02577
GO:1903707	0.02616
GO:0051236	0.02629
GO:0051881	0.02692
GO:0038061	0.02711
GO:0009451	0.02768
GO:1902750	0.02854
GO:0061437	0.02872
GO:0043649	0.02879
GO:0048207	0.0293
GO:0006048	0.03024
GO:0045185	0.03031
GO:0006901	0.03051
GO:0051294	0.03067
GO:0120193	0.03073
GO:0030717	0.03089
GO:1902106	0.03093
GO:1901185	0.03161
GO:0045168	0.0326
GO:0009397	0.03374
GO:0006449	0.03375
GO:0044282	0.03436
GO:0090131	0.03491
GO:1904893	0.03494
GO:0046349	0.0351
GO:0045905	0.03592
GO:0043279	0.03628
GO:0007350	0.03683
GO:0043174	0.03758
GO:0031175	0.03975
GO:0060491	0.04052
GO:0006430	0.04113
GO:0104004	0.04133
GO:0044248	0.04158
GO:0007292	0.04183
GO:0030534	0.04246
GO:0048858	0.0451
GO:0000281	0.04559
GO:0009259	0.04574
GO:1904375	0.04583
GO:2001242	0.04656
GO:0003013	0.04725
GO:0042743	0.04731
GO:0048199	0.04773
GO:0008038	0.04825
GO:0002168	0.04874
GO:0030718	0.04905
GO:0043433	0.04941
GO:0010648	0.04962
GO:0019882	0.0498
