GO.ID	pValue
GO:0019627	0.0019
GO:0071941	0.0055
GO:0140253	0.0058
GO:0006949	0.0072
GO:0051276	0.0088
GO:0006525	0.0093
GO:0021761	0.0121
GO:0072528	0.0124
GO:0060439	0.0129
GO:0046112	0.0133
GO:0034643	0.0144
GO:0006281	0.0148
GO:0072527	0.0177
GO:0008643	0.0211
GO:0000723	0.0211
GO:1901798	0.0226
GO:0021536	0.0227
GO:0030588	0.023
GO:0045638	0.0244
GO:0006220	0.0268
GO:0007413	0.0281
GO:0007418	0.0282
GO:0006526	0.0288
GO:0036297	0.029
GO:0098657	0.0292
GO:0030713	0.0295
GO:0006289	0.0298
GO:0072331	0.0307
GO:1903706	0.0308
GO:0002682	0.0345
GO:0006221	0.0353
GO:0070542	0.0374
GO:0030900	0.0379
GO:0031346	0.0394
GO:0022416	0.0395
GO:0045229	0.0397
GO:1904837	0.042
GO:0007443	0.0437
GO:0015949	0.0437
GO:0071824	0.0446
GO:0007417	0.0464
GO:0033504	0.0467
GO:0065004	0.0472
GO:0021781	0.0491
GO:0043604	0.0493
GO:0032989	0.0494
GO:0106030	0.0496
