GO.ID	pValue
GO:0000912	5.8e-08
GO:0044837	1e-06
GO:0007300	2.2e-06
GO:0060810	5.5e-06
GO:0032506	9.3e-06
GO:0070572	2e-05
GO:0035193	2.6e-05
GO:0002683	4.6e-05
GO:0051321	5.1e-05
GO:0030866	5.2e-05
GO:0070570	5.8e-05
GO:0048678	5.8e-05
GO:0007488	5.9e-05
GO:1903046	9.9e-05
GO:0030865	1e-04
GO:0008298	1e-04
GO:0007436	1e-04
GO:0003012	0.00012
GO:0007391	2e-04
GO:0048680	0.00022
GO:0007316	0.00027
GO:0007351	0.00029
GO:0048679	0.00032
GO:0016072	0.00033
GO:0007315	0.00034
GO:0045168	0.00044
GO:1903036	0.00075
GO:1902600	0.00075
GO:0007028	0.00083
GO:0001700	0.00096
GO:0009880	0.00097
GO:0046847	0.0011
GO:0000578	0.00122
GO:0009798	0.00132
GO:0030717	0.00136
GO:0006457	0.00152
GO:0061988	0.00172
GO:0031032	0.00176
GO:0031103	0.00208
GO:0120034	0.00208
GO:0000910	0.00232
GO:0140694	0.00279
GO:0051881	0.0028
GO:0018208	0.00301
GO:0031102	0.00318
GO:0007309	0.00319
GO:0007308	0.00322
GO:0006281	0.00331
GO:0060491	0.00354
GO:0009451	0.00366
GO:0000041	0.00412
GO:0007314	0.00428
GO:1902750	0.00448
GO:2001244	0.00457
GO:0045807	0.00459
GO:0035272	0.00483
GO:0031099	0.00496
GO:0003013	0.00498
GO:0045185	0.00507
GO:0045005	0.00516
GO:0061640	0.00529
GO:0010992	0.00541
GO:0038127	0.00568
GO:1901798	0.00595
GO:0030718	0.007
GO:0070192	0.00774
GO:0061437	0.00778
GO:0019953	0.00862
GO:0034643	0.00869
GO:0048925	0.00899
GO:0002168	0.00916
GO:0010972	0.00931
GO:0120032	0.00952
GO:0061440	0.00967
GO:0002164	0.0098
GO:0060538	0.00991
GO:0007626	0.01033
GO:0048285	0.01047
GO:0007281	0.01054
GO:0016203	0.01156
GO:0050919	0.01181
GO:0097237	0.01208
GO:0009994	0.01219
GO:0006826	0.01237
GO:0000281	0.01264
GO:0090131	0.01309
GO:0006399	0.01343
GO:0051235	0.01344
GO:0044818	0.01346
GO:0051491	0.01449
GO:0051276	0.01493
GO:0030968	0.01599
GO:0006879	0.01633
GO:1901990	0.01678
GO:1901185	0.01751
GO:0072012	0.01778
GO:0006839	0.01815
GO:0042219	0.01821
GO:0071312	0.01825
GO:1902475	0.01838
GO:0050777	0.01838
GO:0019856	0.01914
GO:0031175	0.01934
GO:1902253	0.01942
GO:0019725	0.01957
GO:0032101	0.01977
GO:0090130	0.01998
GO:0009145	0.02007
GO:0047497	0.02016
GO:1902525	0.02024
GO:0022411	0.02025
GO:0035172	0.02059
GO:0007350	0.02067
GO:0044057	0.02104
GO:0043279	0.02145
GO:0072595	0.02151
GO:0008063	0.02195
GO:0007494	0.02196
GO:0031669	0.02393
GO:1904238	0.02479
GO:0106027	0.02515
GO:0042551	0.02669
GO:0072007	0.02689
GO:0042560	0.02715
GO:0001707	0.02747
GO:0046716	0.02827
GO:0045610	0.02827
GO:0044773	0.02894
GO:0071363	0.02909
GO:0009206	0.02931
GO:0001956	0.02941
GO:0051294	0.03067
GO:0098657	0.03174
GO:0030240	0.03208
GO:0072008	0.03238
GO:0080135	0.03238
GO:0048882	0.03274
GO:0044774	0.03294
GO:0016054	0.033
GO:0043649	0.03313
GO:1901293	0.03334
GO:0055002	0.03338
GO:0003006	0.0334
GO:0006754	0.03434
GO:0035206	0.03451
GO:0072143	0.03455
GO:0051489	0.03497
GO:0070841	0.03507
GO:0046390	0.0352
GO:0045740	0.03551
GO:0002026	0.0362
GO:0007435	0.03664
GO:0007431	0.03694
GO:0051457	0.03696
GO:1901796	0.03709
GO:1901184	0.03767
GO:0048255	0.03802
GO:0009260	0.03823
GO:1990505	0.03889
GO:0070296	0.03915
GO:1902298	0.03925
GO:0006413	0.03942
GO:0036098	0.04125
GO:0006403	0.04127
GO:0032507	0.04233
GO:0000075	0.04332
GO:0022412	0.0441
GO:0009448	0.04446
GO:0010212	0.04449
GO:0000722	0.04725
GO:0030239	0.04736
GO:0009636	0.04753
GO:0016331	0.04809
GO:1903707	0.04856
GO:0072109	0.04912
GO:1902106	0.04934
