GO.ID	pValue
GO:0000912	1.2e-06
GO:0007281	7.3e-06
GO:0060810	1.6e-05
GO:0035193	2e-05
GO:0044837	6.2e-05
GO:0003006	7.1e-05
GO:0001700	7.9e-05
GO:0030866	8.9e-05
GO:0030718	9.2e-05
GO:0022412	0.00013
GO:0035272	0.00014
GO:0007315	0.00015
GO:0002164	0.00024
GO:0070572	0.00024
GO:0002683	0.00026
GO:0008298	0.00028
GO:0007488	0.00036
GO:0032506	0.00037
GO:0030865	0.00043
GO:0007351	0.00046
GO:0007391	0.00049
GO:0007300	0.00049
GO:0044818	0.00066
GO:0009798	0.00076
GO:0048679	8e-04
GO:0098727	0.00085
GO:0070570	0.00094
GO:0048678	0.001
GO:0019827	0.00106
GO:0007028	0.00125
GO:1902750	0.00127
GO:0007316	0.00139
GO:0051321	0.00143
GO:1903046	0.00189
GO:0044773	0.00195
GO:0048680	0.00197
GO:0080135	0.00213
GO:0000578	0.00267
GO:0051301	0.0028
GO:0120034	0.00293
GO:0009880	0.00342
GO:0044774	0.00349
GO:0010972	0.00366
GO:0031103	0.004
GO:0071806	0.00409
GO:1901991	0.00459
GO:0046847	0.00491
GO:0007560	0.00571
GO:0071559	0.00643
GO:0071560	0.00659
GO:0042551	0.00678
GO:0060491	0.00717
GO:1990542	0.0073
GO:1903036	0.00789
GO:0044839	0.0081
GO:0090101	0.00826
GO:0007431	0.00879
GO:0048285	0.00946
GO:0007314	0.00981
GO:0016925	0.00989
GO:0007436	0.01002
GO:0006879	0.01006
GO:0006839	0.01028
GO:0018208	0.011
GO:0000086	0.01138
GO:1902600	0.01191
GO:0120032	0.01223
GO:0051169	0.01239
GO:0010212	0.01334
GO:0045740	0.01379
GO:0006826	0.01387
GO:0009791	0.01417
GO:0007292	0.01454
GO:0008063	0.01491
GO:0061988	0.0151
GO:0034982	0.01592
GO:0016331	0.01595
GO:0040001	0.01704
GO:0007595	0.01712
GO:0010569	0.01809
GO:0006457	0.01831
GO:0048332	0.01941
GO:0031032	0.01978
GO:0008053	0.01988
GO:0048255	0.01996
GO:0045807	0.02041
GO:0006430	0.02063
GO:0009994	0.02134
GO:0097193	0.02148
GO:0022411	0.02167
GO:0045610	0.02228
GO:0045905	0.02232
GO:1900101	0.02276
GO:0035172	0.02361
GO:0051647	0.02451
GO:0008154	0.02531
GO:0048732	0.02532
GO:0007444	0.02567
GO:0009886	0.02577
GO:0035150	0.02584
GO:0051343	0.02663
GO:0015695	0.02676
GO:0006449	0.02676
GO:0044092	0.02693
GO:0030968	0.02702
GO:0045901	0.0279
GO:0006448	0.02829
GO:0071695	0.02833
GO:0031102	0.02878
GO:0043489	0.02891
GO:2001242	0.02898
GO:0001956	0.02941
GO:0030717	0.02944
GO:0046349	0.02977
GO:0007006	0.03022
GO:0006048	0.03024
GO:0035206	0.03024
GO:0051294	0.03067
GO:2001244	0.03068
GO:0031647	0.03082
GO:0002165	0.03149
GO:0019953	0.03163
GO:0043243	0.03184
GO:0010389	0.03308
GO:0007188	0.03411
GO:0007309	0.03418
GO:0021700	0.03436
GO:0051491	0.0348
GO:0061640	0.03492
GO:0007494	0.03535
GO:0022416	0.03582
GO:0009950	0.03757
GO:0006937	0.03947
GO:0007552	0.03956
GO:0040014	0.03996
GO:1902749	0.04114
GO:0045041	0.04146
GO:0048469	0.042
GO:0044743	0.04222
GO:0006452	0.04262
GO:0009081	0.04292
GO:0009968	0.04307
GO:0007308	0.04323
GO:0070192	0.04334
GO:0006403	0.04364
GO:0007350	0.04377
GO:0051276	0.04381
GO:0032543	0.04385
GO:0000281	0.04397
GO:1902369	0.04487
GO:0098657	0.04584
GO:0016072	0.04664
GO:1901698	0.04694
GO:0031099	0.04719
GO:1903707	0.04856
GO:1902106	0.04934
GO:0051235	0.04975
GO:0045736	0.04983
